split,model,tp_precision,tp_recall,tp_f1,macro_precision,macro_recall,macro_f1,brier,bss
test,bigru,0.5693430656934306,0.05631768953068592,0.10249671484888304,0.6328713005586781,0.5185088611212474,0.45847465462628884,0.21005160121366973,0.02110098210303646
test,bilstm,0.4696969696969697,0.022382671480144403,0.04272915230875258,0.5801409894188687,0.505466769171541,0.4279298929847275,0.20932420627377324,0.024490845299383057
test,gru,0.5878378378378378,0.0628158844765343,0.11350293542074365,0.6427777917647504,0.5214308405045412,0.46431506449992427,0.20986660738101834,0.021963104934060396
test,gru_cat,0.4351145038167939,0.16462093862815885,0.23886851754845467,0.569905388712889,0.5338969920487866,0.5152765526810373,0.23658198878189027,-0.1025380198607666
test,lstm,0.68,0.01227436823104693,0.024113475177304965,0.685143762734888,0.5048287117570021,0.4200042891005605,0.22007835917319812,-0.02562650515514764
val,bigru,0.2688679245283019,0.04746044962531224,0.08067940552016985,0.4992093759757349,0.49981785208818835,0.4534035496346666,0.1969219183505284,0.0017734242978747483
val,bilstm,0.41150442477876104,0.07743547044129892,0.130343377715487,0.5743480378163255,0.5181993766893319,0.4819612825281203,0.20389959347206932,-0.03359745163752614
val,gru,0.348,0.07243963363863447,0.11991729841488627,0.5411278625954199,0.5110732571155221,0.4740579361709841,0.20008870828522268,-0.014279506218731308
val,gru_cat,0.3599605522682446,0.3039134054954205,0.3295711060948081,0.5580432866358725,0.5518332840497775,0.5534495206587401,0.23718329319921966,-0.20231748993305954
val,lstm,0.47,0.11740216486261448,0.18787475016655564,0.6070424915499759,0.5341716162171758,0.5113828579493214,0.2102063509528161,-0.06556734598206138
