;split;model;tp_precision;tp_recall;tp_f1;macro_precision;macro_recall;macro_f1;brier;bss
0;test;cat;0.312272175;0.17259906;0.222318339;0.500344484;0.50022897;0.487022191;0.24063299;-0.121602953
1;test;lgbm;0.726415094;0.051712559;0.096551724;0.712062182;0.521446304;0.457749414;0.219469909;-0.022960723
2;test;rf;0;0;0;0.344149048;0.5;0.407687539;0.239999711;-0.118651204
3;test;stacking;0.312776304;0.950302216;0.470646932;0.510143093;0.502371303;0.285874158;0.36815129;-0.715972416
4;test;xgb;0.370786517;0.022162525;0.041825095;0.530103156;0.502565448;0.426128194;0.22137066;-0.031820225
